function,label
 ualstrcpyW,1
 _xstat,1
 _wmktemp_s,1
 StrCatChainW,1
 ldap_search_st,1
 _mbstowcs_s_1,1
 Idap_modify_ext,1
 _mbsset_s,1
 strncpy_s,1
 move,1
 execle,1
 StrCat,1
 xrealloc,1
 wcsncpy_s,1
 _tcsncpy*,1
 execlp,1
 RIPEMD160_Final,1
 1 dap_search_s,1
 EnterCriticalSection,1
 _wctomb_s_1,1
 fwrite,1
 _gmtime64_s,1
 sscanf s,1
 wcscat,1
 _strupr_s,1
 wcrtomb_s,1
 VirtualLock,1
 ldap_add_ext_s,1
 _mbscpy,1
 Jocaltime32_s,1
 Istrcpy,1
 _wcsncpy*,1
 CC_SHA1_Init,1
 _getts,1
 _wfopen,1
 _xstat64,1
 strcoll,1
 _fwscanf s_1,1
 RegOpenKey,1
 makepath,1
 seed48,1
 CC_SHA256,1
 sendto,1
 execv,1
 CalculateDigest,1
 memchr,1
 _mbscpy_s,1
 _strtime_s,1
 ldap_search_ext_s,1
 _chmod,1
 flock,1
 _fxstat64,1
 _vsntprintf,1
 CC_SHA256_Init,1
 _itoa_s,1
 _wcserror_s,1
 _gcvt_s,1
 fstream.write,1
 sprintf,1
 recursive_mutex,1
 strrchr,1
 gethostbyaddr,1
 _wcsupr_s_1,1
 strcspn,1
 MD5_Final,1
 asprintf,1
 _wcstombs_s_1,1
 _tcstok,1
 free,1
 MD2_Final,1
 asctime_s,1
 _alloca,1
 _wputenv_s,1
 _wcsset_s,1
 _wcslwr_s_1,1
 SHAl_Update,1
 filebuf.sputc,1
 filebut sputn,1
 SQLConnect,1
 Idap_compare,1
 mbstowcs_s,1
 HMAC_Final,1
 pthread_condattr_init,1
 _ultow_s,1
 rand,1
 ofstream.put,1
 CC_SHA224_Final,1
 lstrcpynA,1
 bcopy,1
 system,1
 CreateFile*,1
 wcscpy_s,1
 _mbsnbcpy*,1
 open,1
 _vsnwprintf,1
 strncpy,1
 getopt_long,1
 CC_SHA512_Final,1
 _vsprintf s_1,1
 scanf,1
 mkdir,1
 _localtime_s,1
 _snprintf,1
 _mbccpy_s_1,1
 memcmp,1
 final,1
 _ultoa_s,1
 lstrcpyW,1
 LoadModule,1
 _swprintf s_1,1
 MD5_Update,1
 _mbsnset_s_1,1
 _wstrtime_s,1
 _strnset_s,1
 IstrcpyA,1
 _mbsnbcpy_s,1
 mlock,1
 IsBadHugeWritePtr,1
 copy,1
 _mbsnbcpy_s_l,1
 wnsprintf,1
 wcscpy,1
 ShellExecute,1
 CC_MD4,1
 _ultow,1
 _vsnwprintf sl,1
 lstrcpyn,1
 CC_SHA l_Final,1
 vsnprintf,1
 _mbsnbset_s,1
 _i64tow,1
 SHA256_Init,1
 wvnsprintf,1
 RegCreateKey,1
 strtok_s,1
 _wctime32_s,1
 _i64toa,1
 CC_MD5_Final,1
 wmemcpy,1
 WinExec,1
 CreateDirectory*,1
 CC_SHA256_Update,1
 _vsnprintf s_1,1
 jrand48,1
 wsprintf,1
 ldap_rename_ext_s,1
 filebuf.open,1
 _wsystem,1
 SHA256_Update,1
 _cwscanf s,1
 wsprintf W,1
 _sntscanf,1
 _splitpath,1
 fscanf s,1
 strpbrk,1
 wcstombs_s,1
 wscanf,1
 _mbsnbcat_s_1,1
 strcpynA,1
 pthread_cond_init,1
 wcsrtombs_s,1
 _wsopen_s,1
 CharToOemBuffA,1
 RIPEMD160_Update,1
 _fscanf,1
 HMAC,1
 StrCCpy,1
 Connection.connect,1
 lstrcatn,1
 _mbstok,1
 _mbsncpy,1
 CC_SHA384_Update,1
 create_directories,1
 pthread_mutex_unlock,1
 CFile.Open,1
 connect,1
 _vswprintf s_1,1
 _snscanf s_1,1
 fputc,1
 _wscanf s,1
 _snprintf s J,1
 strtok,1
 _strtok_s_1,1
 IstrcatA,1
 snwscanf,1
 pthread_mutex_init,1
 fputs,1
 CC_SHA384_Init,1
 _putenv_s,1
 CharToOemBuffW,1
 pthread_mutex_trylock,1
"
wcstoul_internal",1
 _memccpy,1
 _snwprintf s_1,1
 _strncpy*,1
 wmemset,1
 MD4_Init,1
 *RC4*,1
 strcpyW,1
 _ecvt_s,1
 memcpy_s,1
 erand48,1
 IsBadHugeReadPtr,1
 strcpyA,1
 HeapReAlloc,1
 memcpy,1
 Idap_rename_ext,1
 fopen_s,1
 srandom,1
 _cgetws_s,1
 _makepath,1
 SHA256_Final,1
 remove,1
 _mbsupr_s,1
 pthread_mutexattr_init,1
 _wcstold_internal,1
 StrCpy,1
 ldap_delete,1
 wmemmove_s,1
 _mkdir,1
 strcat,1
 _cscanf s_1,1
 StrCAdd,1
 swprintf s,1
 _strnset_s_1,1
 close,1
 ldap_delete_ext_s,1
 ldap_modrdn,1
 strchr,1
 .gmtime32_s,1
 _ftcscat,1
 IstrcatnA,1
 _tcsncat,1
 OemToChar,1
 mutex,1
 CharToOem,1
 strcpy_s,1
 lstrcatnW,1
 _wscanf s_1,1
 _Ixstat64,1
 memalign,1
 MD2_Init,1
 StrCatBuffW,1
 StrCpyN,1
 CC_MD5,1
 StrCpyA,1
 StrCatBuffA,1
 StrCpyW,1
 tmpnam_r,1
 _vsnprintf,1
 strcatA,1
 StrCpyNW,1
 _mbsnbset_s_l,1
 EVP_Digestlnit,1
 _stscanf,1
 CC_MD2,1
 _tcscat,1
 StrCpyNA,1
 xmalloc,1
 _tcslen,1
 *MD4*,1
 vasprintf,1
 strxfrm,1
 chmod,1
 ldap_add_ext,1
 alloca,1
 _snscanf s,1
 IsBadWritePtr,1
 swscanf s,1
 wmemcpy_s,1
 _itoa,1
 _ui64toa_s,1
 EVP_DigestUpdate,1
 _wcstol_internal,1
 _itow,1
 StrNCatW,1
 strncat_s,1
 ualstrcpy,1
 execvp,1
 _mbccat,1
 EVP_MD_CTX_init,1
 assert,1
 ofstream.write,1
 ldap_add,1
 _sscanf sl,1
 drand48,1
 CharToOemW,1
 swscanf,1
 _itow_s,1
 RIPEMD160_Init,1
 CopyMemory,1
 initstate,1
 getpwuid,1
 vsprintf,1
 _fcvt_s,1
 CharToOemA,1
 setuid,1
 malloc,1
 StrCatNA,1
 strcat_s,1
 srand,1
 getwd,1
 _controlfp_s,1
 olestrcpy,1
 _wcstod_internal,1
 _mbsnbcat,1
 Istrncat,1
 des_*,1
 CC_SHA224_Init,1
 set*,1
 vsprintf s,1
 SHAI_Final,1
 _umask_s,1
 gets,1
 setstate,1
 wvsprintfW,1
 LoadLibraryEx,1
 ofstream.open,1
 calloc,1
 _mbstrlen,1
 _cgets_s,1
 _sopen_s,1
 IsBadStringPtr,1
 wcsncat_s,1
 add*,1
 nrand48,1
 create_directory,1
 ldap_search_ext,1
 _i64toa_s,1
 _ltoa_s,1
 _cwscanf s_1,1
 wmemcmp,1
 _Ixstat,1
 lstrlen,1
 pthread_condattr_destroy,1
 _ftcscpy,1
 wcstok_s,1
"
xmlcnod",1
 pthread_attr_destroy,1
 sethostname,1
 _fscanf s_1,1
 StrCatN,1
 RegEnumKey,1
 _tcsncpy,1
 strcatW,1
 AfxLoadLibrary,1
 setenv,1
 tmpnam,1
 _mbsncat_s_1,1
 _wstrdate_s,1
 _wctime64_s,1
 _i64tow_s,1
 CC_MD4_Update,1
 ldap_add_s,1
 _umask,1
 CC_SHAl_Update,1
 _wcsset_s_1,1
 _mbsupr_s_l,1
 strstr,1
 _tsplitpath,1
 memmove,1
 _tcscpy,1
 vsnprintf s,1
 strcmp,1
 wvnsprintfW,1
 tmpfile,1
 Idap_modify,1
 _mbsncat*,1
 mrand48,1
 sizeof,1
 StrCatA,1
 _ltow_s,1
 *desencrypt*,1
 StrCatW,1
 _mbccpy,1
 CC_MD2_Init,1
 RIPEMD160,1
 ldap_search,1
 CC_SHA224,1
 mbsrtowcs_s,1
 update,1
 ldap_delete_s,1
 getnameinfo,1
 *RC5*,1
 _wcsncat_s_1,1
 DriverManager.getConnection,1
 socket,1
 _cscanf s,1
 ldap_modrdn_s,1
 _wopen,1
 CC_SHA256_Final,1
 _snwprintf*,1
 MD2_Update,1
 strcpy,1
 _strncat_s_l,1
 CC_MD5_Init,1
 mbscpy,1
 wmemmove,1
 LoadLibraryW,1
 _mbslen,1
 *alloc,1
 _mbsncat_s,1
 LoadLibraryA,1
 fopen,1
 StrLen,1
 delete,1
 _splitpath_s,1
 CreateFileTransacted*,1
 MD4_Final,1
 _open,1
 CC_SHA384,1
 wcslen,1
 wcsncat,1
 _mktemp_s,1
 pthread_mutexattr_destroy,1
 _snwscanf s,1
 _strset_s,1
 _wcsncpy_s_1,1
 CC_MD2_Final,1
 _mbstok_s_1,1
 wctomb_s,1
 MySQL_Driver.connect,1
 _snwscanf s_1,1
 *_des_*,1
 LoadLibrary,1
 _swscanf s_1,1
 ldap_compare_s,1
 ldap_compare_ext,1
 _strlwr_s,1
 GetEnvironmentVariable,1
 cuserid,1
 _mbscat s,1
 strspn,1
 _mbsncpy_s,1
 ldap_modrdn2,1
 LeaveCriticalSection,1
 CopyFile,1
 getpwd,1
 sscanf,1
 creat,1
 RegSetValue,1
 ldap_modrdn2_s,1
 CFile.Close,1
 *SHA_1 *,1
 pthread_cond_destroy,1
 CC_SHA512_Update,1
 *RC2*,1
 StrNCatA,1
 _mbsnbcpy,1
 _mbsnset_s,1
 crypt,1
 excel,1
 _vstprintf,1
 xstrdup,1
 wvsprintfA,1
 getopt,1
 mkstemp,1
 _wcsnset_s,1
 _stprintf,1
 _sntprintf,1
 tmpfile_s,1
 OpenDocumentFile,1
 _mbsset_s_1,1
 _strset_s_l,1
 ifstream.open,1
 xcalloc,1
 StrNCpyA,1
 _wctime_s,1
 CC_SHA224_Update,1
 _ctime64_s,1
 MoveFile,1
 chown,1
 StrNCpyW,1
 IsBadReadPtr,1
 _ui64tow_s,1
 IsBadCodePtr,1
 getc,1
 OracleCommand.ExecuteOracleScalar,1
 AccessDataSource.Insert,1
 IDbDataAdapter.FillSchema,1
 IDbDataAdapter.Update,1
 GetWindowText*,1
 SendMessage,1
 Sq1Command.ExecuteNonQuery,1
 streambuf.sgetc,1
 stream-but sgetn,1
 OracleCommand.ExecuteScalar,1
 Sq1DataSource.Update,1
 _Read_s,1
 IDataAdapter.Fill,1
 _wgetenv,1
 _RecordsetPtr.Open*,1
 AccessDataSource.Delete,1
 Recordset.Open*,1
 filebuf.sbumpc,1
 DDX_*,1
 RegGetValue,1
 fstream.read*,1
 Sq1CeCommand.ExecuteResultSet,1
 Sq1Command.ExecuteXmlReader,1
 main,1
 streambuf.sputbackc,1
 read,1
 m_IpCmdLine,1
 CRichEditCtrl.Get*,1
 istream.putback,1
 Sq1CeCommand.ExecuteX miReader,1
 SqICeCommand.BeginExecuteXmlReader,1
 filebuf.sgetn,1
 OdbcDataAdapter.Update,1
 filebuf.sgetc,1
 SQLPutData,1
 recvfrom,1
 OleDbDataAdapter.FillSchema,1
 IDataAdapter.FillSchema,1
 CRichEditCtrl.GetLine,1
 DbDataAdapter.Update,1
 Sq1Command.ExecuteReader,1
 istream.get,1
 ReceiveFrom,1
 _main,1
 fgetc,1
 DbDataAdapter.FillSchema,1
 kbhit,1
 UpdateCommand.Execute*,1
 Statement.execute,1
 fgets,1
 SelectCommand.Execute*,1
 getch,1
 OdbcCommand.ExecuteNonQuery,1
 CDaoQueryDef.Execute,1
 fstream.getline,1
 ifstream.getline,1
 Sq1DataAdapter.FillSchema,1
 OleDbCommand.ExecuteReader,1
 Statement.execute*,1
 Sq1CeCommand.BeginExecuteNonQuery,1
 OdbcCommand.ExecuteScalar,1
 Sq1CeDataAdapter.Update,1
 sendmessage,1
 mysqlpp.DBDriver,1
 fstream.peek,1
 Receive,1
 CDaoRecordset.Open,1
 OdbcDataAdapter.FillSchema,1
 _wgetenv_s,1
 OleDbDataAdapter.Update,1
 readsome,1
 Sq1Command.BeginExecuteXmlReader,1
 recv,1
 ifstream.peek,1
 _Main,1
 _tmain,1
 _Readsome_s,1
 Sq1CeCommand.ExecuteReader,1
 OleDbCommand.ExecuteNonQuery,1
 fstream.get,1
 IDbCommand.ExecuteScalar,1
 filebuf.sputbackc,1
 IDataAdapter.Update,1
 streambuf. sbumpc,1
 InsertCommand.Execute*,1
 RegQueryValue,1
 IDbCommand.ExecuteReader,1
 SqlPipe.ExecuteAndSend,1
 Connection.Execute*,1
 getdlgtext,1
 ReceiveFromEx,1
 Sq1DataAdapter.Update,1
 RegQueryValueEx,1
 SQLExecute,1
 pread,1
 SqICommand.BeginExecuteReader,1
 AfxWinMain,1
 getchar,1
 istream.getline,1
 Sq1CeDataAdapter.Fill,1
 OleDbDataReader.ExecuteReader,1
 Sq1DataSource.Insert,1
 istream.peek,1
 SendMessageCallback,1
 ifstream.read*,1
 Sq1DataSource.Select,1
 Sq1Cornmand.ExecuteScalar,1
 Sq1DataAdapter.Fill,1
 Sq1Command.BeginExecuteNonQuery,1
 getche,1
 Sq1CeCorrunand.BeginExecuteReader,1
 getenv,1
 strearnbuf. snextc,1
 Command.Execute*,1
 _CommandPtr.Execute*,1
 SendNotifyMessage,1
 OdbcDataAdapter.Fill,1
 AccessDataSource.Update,1
 fscanf,1
 QSqlQuery.execBatch,1
 DbDataAdapter.Fill,1
 cin,1
 DeleteCommand.Execute*,1
 QSqlQuery.exec,1
 PostMessage,1
 ifstream.get,1
 filebuf.snextc,1
 IDbCommand.ExecuteNonQuery,1
 Winmain,1
 fread,1
 getpass,1
 GetDlgltemTextCCheckListBox.GetCheck,1
 DISP_PROPERTY_EX,1
 pread64,1
 Socket.Receive*,1
 SACommand.Execute*,1
 SQLExecDirect,1
 Sql-CeDataAdapter.FillSchema,1
 DISP_FUNCTION,1
 OracleCommand.ExecuteNonQuery,1
 CEdit.GetLine,1
 OdbcCommand.ExecuteReader,1
 CEdit.Get*,1
 AccessDataSource.Select,1
 OracleCommand.ExecuteReader,1
 OCIStmtExecute,1
 getenv_s,1
 DB2Command.Execute*,1
 OracleDataAdapter.FillSchema,1
 OracleDataAdapter.Fill,1
 CComboBox.Get*,1
 Sq1CeCommand.ExecuteNonQuery,1
 OracleCommand.ExecuteOracleNonQuery,1
 mysqlpp.Query,1
 istream.read*,1
 CListBox.GetText,1
 Sq1CeCommand.ExecuteScalar,1
 ifstream.putback,1
 readlink,1
 CHtmlEditCtrl.GetDHtmlDocument,1
 PostThreadMessage,1
 CListCtrl.GetltemText,1
 OracleDataAdapter.Update,1
 OleDbCommand.ExecuteScalar,1
 stdin,1
 Sq1DataSource.Delete,1
 OleDbDataAdapter.Fill,1
 fstream.putback,1
 IDbDataAdapter.Fill,1
 _wspawnl,1
 fwprintf,1
 sem_wait,1
 _unlink,1
 ldap_search_ext_sW,1
 signal,1
 PQclear,1
 PQfinish,1
 PQexec,1
" PQresultStatus.
",1
